,Numéro Unique,RM Moyennes,Ressources imposables mensuelles moyennes (RI),Prestations familiales et sociales mensuelles moyennes (PFS),Ri + PFS
0,0010217076044GDPUB,1890.0,1890.0,0.0,1890.0
1,001031606377111126,1550.0,1550.0,0.0,1550.0
2,001031707760010107,800.0,600.0,200.0,800.0
3,001031707857611126,592.0,0.0,592.0,592.0
4,001031707895818214,472.0,0.0,472.0,472.0
5,0010517080269GDPUB,2745.0,622.0,2123.0,2745.0
6,001061201540711126,2522.0,2000.0,662.0,2662.0
7,0010616066979GDPUB,1.0,0.0,1.0,1.0
8,001061606767616214,738.0,0.0,738.0,738.0
9,001061708150201033,922.0,800.0,122.0,922.0
10,0010617081725AL002,418.0,418.0,0.0,418.0
11,001071505384511126,560.0,560.0,0.0,560.0
12,0010716067636GDPUB,1600.0,1600.0,0.0,1600.0
13,001071708236711126,2424.0,2295.0,129.0,2424.0
14,0010717083110GDPUB,1944.0,210.0,1734.0,1944.0
15,001071708316001313,1110.0,309.0,801.0,1110.0
16,0010717083387GDPUB,860.0,860.0,0.0,860.0
17,001081606850201160,1152.0,0.0,1152.0,1152.0
18,0010817083916GDPUB,2148.0,375.0,1773.0,2148.0
19,001101708620111146,1239.0,1059.0,180.0,1239.0
20,001101708971401173,673.0,0.0,673.0,673.0
21,001101708982801173,1629.0,1629.0,0.0,1629.0
22,0011117087599GDPUB,1268.0,328.0,940.0,1268.0
23,0011117087950GDPUB,432.0,0.0,432.0,432.0
24,0011215059910GDPUB,1396.0,300.0,1096.0,1396.0
25,001121607427711126,800.0,800.0,0.0,800.0
26,0011217088305GDPUB,890.0,0.0,890.0,890.0
27,0011217088563GDPUB,870.0,400.0,470.0,870.0
28,002011605570110424,504.0,504.0,0.0,504.0
29,0020417080610GDPUB,1783.0,0.0,1783.0,1783.0
30,0020517081180GDPUB,1500.0,1500.0,0.0,1500.0
31,0021117087044GDPUB,1900.0,1900.0,0.0,1900.0
32,002111708770910411,935.0,0.0,935.0,935.0
33,0021216076868GDPUB,714.0,714.0,0.0,714.0
34,003011601232503F01,1397.0,936.0,461.0,1397.0
35,003011701779003F01,172.0,172.0,0.0,172.0
36,003011701809203F01,1983.0,659.0,1324.0,1983.0
37,003021701828303F01,2829.0,942.0,1887.0,2829.0
38,003041601392703F01,702.0,702.0,0.0,702.0
39,003041701960003F01,500.0,500.0,0.0,500.0
40,003051500818103F01,400.0,0.0,400.0,400.0
41,003051601417603F01,1713.0,1713.0,0.0,1713.0
42,003061601500003F01,461.0,0.0,461.0,461.0
43,003061702012003F01,692.0,250.0,442.0,692.0
44,003071702070303F01,1.0,1.0,0.0,1.0
45,003081601560103F01,762.0,762.0,0.0,762.0
46,003081702118303F01,1013.0,840.0,173.0,1013.0
47,003081702129903F01,965.0,965.0,0.0,965.0
48,003081702138603F01,535.0,0.0,535.0,535.0
49,003091501052603F01,461.0,461.0,0.0,461.0
50,003091501065903F01,1043.0,1043.0,0.0,1043.0
51,003091501066703F01,629.0,500.0,129.0,629.0
52,003091601588403F01,1696.0,564.0,1132.0,1696.0
53,003091702186903F01,348.0,239.0,109.0,348.0
54,003101400483703F01,724.0,0.0,724.0,724.0
55,003101501079903F01,808.0,808.0,0.0,808.0
56,003101501098303F01,678.0,0.0,678.0,678.0
57,003101501116903F01,1144.0,0.0,1144.0,1144.0
58,003101601659703F01,462.0,0.0,462.0,462.0
59,003101601674803F01,1.0,1.0,0.0,1.0
60,003111501150603F01,1200.0,1200.0,0.0,1200.0
61,003111501166403F01,1698.0,0.0,1698.0,1698.0
62,003111601716803F01,855.0,0.0,855.0,855.0
63,003111702264903F01,1128.0,109.0,1019.0,1128.0
64,003121501220703F01,932.0,0.0,932.0,932.0
65,003121501226603F01,1514.0,1230.0,284.0,1514.0
66,003121702289203F01,841.0,841.0,0.0,841.0
67,0040115010172SA04N,1787.0,1787.0,0.0,1787.0
68,0040117016703GDPUB,928.0,0.0,928.0,928.0
69,0040216012903SA04N,470.0,0.0,470.0,470.0
70,004021601308111390,806.0,0.0,806.0,806.0
71,004021701699811409,956.0,0.0,956.0,956.0
72,0040217017000SA04N,1696.0,0.0,1696.0,1696.0
73,004021701700711390,1854.0,1854.0,0.0,1854.0
74,0040217017023AL020,1250.0,1250.0,0.0,1250.0
75,0040217017043SA04N,1701.0,1701.0,0.0,1701.0
76,004021701708611404,1152.0,0.0,1152.0,1152.0
77,0040217017094GDPUB,4104.0,4104.0,0.0,4104.0
78,004021701710411390,477.0,0.0,477.0,477.0
79,0040217017137GDPUB,674.0,0.0,674.0,674.0
80,0040217017157GDPUB,742.0,272.0,470.0,742.0
81,004031300507711390,1420.0,612.0,808.0,1420.0
82,004031601329411390,1147.0,1147.0,0.0,1147.0
83,0040317017240GDPUB,494.0,494.0,0.0,494.0
84,0040317017251SA04N,724.0,0.0,724.0,724.0
85,0040317017297GDPUB,952.0,104.0,848.0,952.0
86,0040317017327GDPUB,1900.0,1900.0,0.0,1900.0
87,0040317017346SA04N,801.0,0.0,801.0,801.0
88,0040317017432SA04N,2396.0,2220.0,176.0,2396.0
89,0040317017441GDPUB,1400.0,1400.0,0.0,1400.0
90,004041400819811393,1342.0,180.0,1162.0,1342.0
91,004041400822411404,922.0,191.0,731.0,922.0
92,0040416013508SA04N,907.0,100.0,807.0,907.0
93,0040416013587GDPUB,1760.0,1760.0,0.0,1760.0
94,0040417017513GDPUB,1671.0,1671.0,0.0,1671.0
95,0040417017514SA04N,1273.0,1273.0,0.0,1273.0
96,0040417017541GDPUB,877.0,877.0,0.0,877.0
97,0040417017591GDPUB,800.0,0.0,800.0,800.0
98,0040417017669GDPUB,2745.0,622.0,2123.0,2745.0
99,004041701771511391,128.0,128.0,0.0,128.0
100,004051601468811409,1217.0,1217.0,0.0,1217.0
101,0040517017761SA04N,300.0,300.0,0.0,300.0
102,0040517017763SA04N,600.0,0.0,600.0,600.0
103,0040517017765SA04N,2000.0,2000.0,0.0,2000.0
104,0040517017771SA04N,1950.0,1950.0,0.0,1950.0
105,0040517017811GDPUB,808.0,0.0,808.0,808.0
106,0040517017857GDPUB,492.0,492.0,0.0,492.0
107,0040517017880GDPUB,896.0,0.0,896.0,896.0
108,0040517017897GDPUB,883.0,699.0,184.0,883.0
109,0040614008748SA04N,1061.0,0.0,1061.0,1061.0
110,004061601501611390,1659.0,1104.0,555.0,1659.0
111,004061601514611404,1095.0,1095.0,0.0,1095.0
112,0040617017902GDPUB,1329.0,1013.0,316.0,1329.0
113,0040617017912GDPUB,2855.0,3155.0,0.0,3155.0
114,0040617017967GDPUB,480.0,0.0,480.0,480.0
115,0040617018005GDPUB,689.0,583.0,106.0,689.0
116,0040617018008GDPUB,1437.0,209.0,1228.0,1437.0
117,0040617018080GDPUB,2428.0,210.0,2218.0,2428.0
118,0040617018103SA04N,808.0,0.0,808.0,808.0
119,0040617018111SA04N,1028.0,219.0,809.0,1028.0
120,004071400871711390,1666.0,1666.0,0.0,1666.0
121,0040716015126GDPUB,1102.0,269.0,833.0,1102.0
122,0040716015213SA04N,1669.0,0.0,1669.0,1669.0
123,0040716015356SA04N,1038.0,351.0,687.0,1038.0
124,0040717018238SA04N,1659.0,725.0,934.0,1659.0
125,0040717018293GDPUB,259.0,0.0,259.0,259.0
126,0040717018303GDPUB,1410.0,910.0,500.0,1410.0
127,0040717018431SA04N,1514.0,438.0,1076.0,1514.0
128,0040717018501SA04N,1400.0,1400.0,0.0,1400.0
129,0040816015422SA04N,1700.0,1700.0,0.0,1700.0
130,0040816015540GDPUB,1886.0,2186.0,0.0,2186.0
131,0040816015541GDPUB,807.0,0.0,807.0,807.0
132,0040816015546GDPUB,1400.0,1400.0,0.0,1400.0
133,0040817018557AL004,1650.0,1200.0,450.0,1650.0
134,0040817018562GDPUB,490.0,990.0,0.0,990.0
135,0040817018584SA04N,1416.0,1250.0,166.0,1416.0
136,0040817018587SA04N,800.0,800.0,0.0,800.0
137,0040817018603GDPUB,735.0,145.0,590.0,735.0
138,0040817018606GDPUB,500.0,0.0,500.0,500.0
139,0040817018614GDPUB,800.0,800.0,0.0,800.0
140,004081701865911390,785.0,0.0,785.0,785.0
141,0040817018680GDPUB,1136.0,1136.0,0.0,1136.0
142,0040817018691GDPUB,804.0,0.0,804.0,804.0
143,0040817018720SA04N,783.0,783.0,0.0,783.0
144,0040817018724GDPUB,1620.0,1620.0,0.0,1620.0
145,0040915011861GDPUB,1788.0,1309.0,479.0,1788.0
146,0040916015955GDPUB,1583.0,1209.0,374.0,1583.0
147,004091701885211390,2000.0,2000.0,0.0,2000.0
148,0040917018964GDPUB,2150.0,2150.0,0.0,2150.0
149,0041016016051GDPUB,1099.0,1099.0,0.0,1099.0
150,0041016016063SA04N,700.0,100.0,600.0,700.0
151,0041016016109SA04N,1393.0,1393.0,0.0,1393.0
152,0041017019015AL008,2587.0,2000.0,587.0,2587.0
153,0041017019048GDPUB,9.0,0.0,9.0,9.0
154,0041017019117SA04N,1060.0,901.0,159.0,1060.0
155,0041017019141GDPUB,1995.0,329.0,1666.0,1995.0
156,0041115012149GDPUB,763.0,283.0,480.0,763.0
157,0041115012155SA04N,470.0,0.0,470.0,470.0
158,0041117019217GDPUB,1743.0,104.0,1639.0,1743.0
159,0041117019235GDPUB,964.0,0.0,964.0,964.0
160,0041117019241GDPUB,1730.0,1600.0,130.0,1730.0
161,0041117019266GDPUB,1100.0,1100.0,0.0,1100.0
162,0041117019275AL008,1600.0,1600.0,0.0,1600.0
163,0041117019389GDPUB,1128.0,109.0,1019.0,1128.0
164,0041213007154SA04N,1963.0,1963.0,0.0,1963.0
165,004121300730711393,2097.0,980.0,1117.0,2097.0
166,004121501261811390,1250.0,1250.0,0.0,1250.0
167,0041216016531AL004,1380.0,1380.0,0.0,1380.0
168,0041216016588SA04N,1888.0,0.0,1888.0,1888.0
169,0041216016635GDPUB,1180.0,1180.0,0.0,1180.0
170,0041216016644GDPUB,808.0,0.0,808.0,808.0
171,0041216016653SA04N,1916.0,237.0,1679.0,1916.0
172,004121601678211409,2500.0,2500.0,0.0,2500.0
173,0041217019434SA04N,925.0,925.0,0.0,925.0
174,0041217019463GDPUB,1544.0,226.0,1318.0,1544.0
175,0041217019493GDPUB,2096.0,451.0,1645.0,2096.0
176,0041217019507GDPUB,832.0,723.0,109.0,832.0
177,005011500861211380,2133.0,2133.0,0.0,2133.0
178,005011601074211401,1407.0,480.0,927.0,1407.0
179,005011601082711380,695.0,0.0,695.0,695.0
180,005011701307706B02,700.0,700.0,0.0,700.0
181,0050117013095GDPUB,540.0,0.0,540.0,540.0
182,005011701315911380,850.0,850.0,0.0,850.0
183,005011701317811380,1631.0,1631.0,0.0,1631.0
184,005011701318411380,579.0,0.0,579.0,579.0
185,0050117013197GDPUB,480.0,480.0,0.0,480.0
186,0050117013219GDPUB,829.0,209.0,620.0,829.0
187,0050117013220GDPUB,810.0,0.0,810.0,810.0
188,005021400674811380,800.0,0.0,800.0,800.0
189,005021601085611380,1178.0,1178.0,0.0,1178.0
190,0050216010891GDPUB,674.0,0.0,674.0,674.0
191,005021601096211380,281.0,281.0,0.0,281.0
192,005021701334311390,471.0,0.0,471.0,471.0
193,005021701340011380,620.0,0.0,620.0,620.0
194,005021701341111380,1211.0,0.0,1211.0,1211.0
195,005021701343611380,1634.0,1339.0,295.0,1634.0
196,005031300473211380,484.0,0.0,484.0,484.0
197,005031601106011380,1700.0,1700.0,0.0,1700.0
198,005031701345511404,184.0,0.0,184.0,184.0
199,0050317013456GDPUB,471.0,0.0,471.0,471.0
200,005031701348411380,477.0,270.0,207.0,477.0
201,005031701370011380,751.0,492.0,259.0,751.0
202,005041601125211380,580.0,580.0,0.0,580.0
203,0050417013579GDPUB,910.0,0.0,910.0,910.0
204,0050517013907GDPUB,2339.0,1037.0,1302.0,2339.0
